accession,family
V00662.1,Primates
D38116.1,Primates
D38113.1,Primates
D38114.1,Primates
X99256.1,Primates
Y18001.1,Primates
AY863426.1,Primates
D38115.1,Primates
NC_002083.1,Primates
NC_002764.1,Primates
U20753.1,Carnivore
U96639.2,Carnivore
EU442884.2,Carnivore
EF551003.1,Carnivore
EF551002.1,Carnivore
DQ402478.1,Carnivore
AF303110.1,Carnivore
AF303111.1,Carnivore
EF212882.1,Carnivore
AJ002189.1,Artiodactyla
AF010406.1,Artiodactyla
AF533441.1,Artiodactyla
V00654.1,Artiodactyla
AY488491.1,Artiodactyla
NC_007441.1,Artiodactyla
NC_008830.1,Artiodactyla
NC_010640.1,Artiodactyla
X72204.1,Cetacea
NC_005268.1,Cetacea
NC_001321.1,Cetacea
NC_005270.1,Cetacea
NC_005275.1,Cetacea
NC_006931.1,Cetacea
NC_001788.1,Perissodactyla
X97336.1,Perissodactyla
Y07726.1,Perissodactyla
NC_001640.1,Perissodactyla
AJ238588.1,Rodentia
AJ001562.1,Rodentia
AJ001588.1,Lagomorpha
X88898.2,Erinaceomorpha
