accession,family
NC_010314.1,Nanoviridae
NC_010315.1,Nanoviridae
NC_010316.1,Nanoviridae
NC_010317.1,Nanoviridae
NC_010318.1,Nanoviridae
NC_010319.1,Nanoviridae
NC_018874.1,Herpesviridae
NC_001499.1,Retroviridae
NC_014138.1,Geminiviridae
NC_014139.1,Geminiviridae
NC_015045.1,Geminiviridae
NC_015048.1,Geminiviridae
NC_016574.1,Geminiviridae
NC_016577.1,Geminiviridae
NC_001928.2,Geminiviridae
NC_001929.2,Geminiviridae
NC_014649.1,Mimiviridae
NC_008724.1,Phycodnaviridae
NC_020099.1,Circoviridae
NC_026767.1,Polyomaviridae
NC_026762.1,Polyomaviridae
NC_025403.1,Paramyxoviridae
NC_025404.1,Paramyxoviridae
NC_001341.1,Inoviridae
NC_023556.1,Podoviridae
NC_029075.1,Siphoviridae
NC_029033.1,Siphoviridae
NC_029106.1,Siphoviridae
NC_028834.1,Siphoviridae
NC_028768.1,Siphoviridae
NC_028938.1,Ampullaviridae
NC_028787.1,Ampullaviridae
NC_009452.1,Ampullaviridae
NC_005830.1,Lipothrixviridae
NC_009884.1,Lipothrixviridae
NC_010155.1,Lipothrixviridae
NC_010152.1,Lipothrixviridae
NC_010153.1,Lipothrixviridae
NC_010154.1,Lipothrixviridae
NC_010537.1,Lipothrixviridae
NC_009965.1,Rudiviridae
NC_029314.1,Rudiviridae
NC_013585.1,Fuselloviridae
NC_029316.1,Bicaudaviridae
NC_007409.1,Bicaudaviridae
NC_014660.1,Myoviridae
NC_014661.1,Myoviridae
NC_014663.1,Myoviridae
NC_002700.2,Leviviridae
NC_019541.1,Podoviridae
NC_023590.1,Siphoviridae
NC_031117.1,Myoviridae
NC_023570.1,Podoviridae
NC_031086.1,Podoviridae
NC_028995.1,Myoviridae
NC_023581.1,Podoviridae
NC_025462.1,Myoviridae
NC_031280.1,Myoviridae
NC_025457.1,Podoviridae
NC_031098.1,Siphoviridae
NC_028855.1,Myoviridae
NC_027332.1,Myoviridae
NC_018087.3,Myoviridae
NC_015250.1,Myoviridae
NC_021337.1,Podoviridae
NC_024785.1,Myoviridae
NC_021316.1,Podoviridae
NC_017984.1,Myoviridae
NC_028848.1,Podoviridae
NC_028987.2,Podoviridae
NC_028684.1,Podoviridae
NC_028679.1,Podoviridae
NC_028675.1,Podoviridae
NC_002795.1,Betaflexiviridae
NC_035453.1,Closteroviridae
NC_016404.1,Betaflexiviridae
NC_028649.1,Alphaflexiviridae
NC_009643.1,Podoviridae
NC_005885.1,Siphoviridae
NC_002548.1,Dicistroviridae
NC_028246.1,Rhabdoviridae
NC_001829.1,Parvoviridae
NC_001401.2,Parvoviridae
NC_001729.1,Parvoviridae
NC_006260.1,Parvoviridae
NC_006261.1,Parvoviridae
NC_002077.1,Parvoviridae
NC_005889.1,Parvoviridae
NC_006152.1,Parvoviridae
NC_021247.1,Poxviridae
NC_004690.1,Baculoviridae
NC_005038.1,Baculoviridae
NC_011423.1,Baculoviridae
NC_012932.1,Flaviviridae
NC_007666.1,Reoviridae
NC_007667.1,Reoviridae
NC_007668.1,Reoviridae
NC_007669.1,Reoviridae
NC_007670.1,Reoviridae
NC_007671.1,Reoviridae
NC_007672.1,Reoviridae
NC_007673.1,Reoviridae
NC_007674.1,Reoviridae
NC_019538.1,Myoviridae
NC_025459.1,Myoviridae
NC_014636.1,Myoviridae
NC_019528.1,Podoviridae
NC_023688.1,Myoviridae
NC_019527.1,Myoviridae
NC_008208.1,Myoviridae
NC_007022.1,Myoviridae
NC_005135.1,Myoviridae
NC_015251.1,Myoviridae
NC_005260.1,Myoviridae
NC_020879.1,Myoviridae
NC_019543.1,Myoviridae
NC_014635.1,Myoviridae
NC_009542.2,Myoviridae
NC_026470.1,Picornaviridae
NC_001467.1,Geminiviridae
NC_001468.1,Geminiviridae
NC_034207.1,Luteoviridae
NC_004763.2,Polyomaviridae
NC_010820.1,Retroviridae
NC_005996.1,Reoviridae
NC_006009.1,Reoviridae
NC_006011.1,Reoviridae
NC_006012.1,Reoviridae
NC_006016.1,Reoviridae
NC_006017.1,Reoviridae
NC_006018.1,Reoviridae
NC_006019.1,Reoviridae
NC_006020.1,Reoviridae
NC_006021.1,Reoviridae
NC_012519.1,Betaflexiviridae
NC_034833.1,Betaflexiviridae
NC_003434.1,Geminiviridae
NC_022127.1,Bromoviridae
NC_022128.1,Bromoviridae
NC_022129.1,Bromoviridae
NC_014645.1,Geminiviridae
NC_006384.1,Geminiviridae
NC_021202.1,Geminiviridae
NC_004090.1,Geminiviridae
NC_010812.1,Geminiviridae
NC_002981.1,Geminiviridae
NC_004627.1,Geminiviridae
NC_004626.1,Geminiviridae
NC_027040.1,Geminiviridae
NC_013597.1,Myoviridae
NC_019519.1,Myoviridae
NC_005903.1,Potyviridae
NC_011345.1,Baculoviridae
NC_007921.1,Baculoviridae
NC_025960.1,Baculoviridae
NC_015450.1,Phenuiviridae
NC_015451.1,Phenuiviridae
NC_015452.1,Phenuiviridae
NC_001918.1,Picornaviridae
NC_027054.1,Picornaviridae
NC_011829.1,Picornaviridae
NC_016769.1,Picornaviridae
NC_027919.1,Picornaviridae
NC_035201.1,Papillomaviridae
NC_035199.1,Papillomaviridae
NC_035193.1,Papillomaviridae
NC_035198.1,Picornaviridae
NC_027781.1,Circoviridae
NC_009894.1,Peribunyaviridae
NC_009895.1,Peribunyaviridae
NC_009896.1,Peribunyaviridae
NC_025353.1,Rhabdoviridae
NC_002531.1,Herpesviridae
NC_024382.1,Herpesviridae
NC_018482.1,Arenaviridae
NC_018483.1,Arenaviridae
NC_023761.1,Arenaviridae
NC_023762.1,Arenaviridae
NC_023765.1,Arenaviridae
NC_023766.1,Arenaviridae
NC_018481.1,Arenaviridae
NC_018484.1,Arenaviridae
NC_028237.2,Rhabdoviridae
NC_029993.1,Luteoviridae
NC_027714.1,Geminiviridae
NC_001495.1,Bromoviridae
NC_002024.2,Bromoviridae
NC_002025.1,Bromoviridae
NC_010736.1,Potyviridae
NC_010947.1,Geminiviridae
NC_024009.1,Geminiviridae
NC_036580.1,Amalgaviridae
NC_036581.1,Amalgaviridae
NC_012211.2,Alphaflexiviridae
NC_010249.1,Arenaviridae
NC_010253.1,Arenaviridae
NC_025391.1,Rhabdoviridae
NC_025399.1,Rhabdoviridae
NC_034251.1,Polyomaviridae
NC_002306.3,Coronaviridae
NC_028806.1,Coronaviridae
NC_015668.1,Mesoniviridae
NC_015874.1,Mesoniviridae
NC_023986.1,Mesoniviridae
NC_020899.1,Mesoniviridae
NC_001586.1,Papillomaviridae
NC_001355.1,Papillomaviridae
NC_001587.1,Papillomaviridae
NC_001678.1,Papillomaviridae
NC_001676.1,Papillomaviridae
NC_004104.1,Papillomaviridae
NC_001576.1,Papillomaviridae
NC_001694.1,Papillomaviridae
NC_001352.1,Papillomaviridae
NC_001583.1,Papillomaviridae
NC_001593.1,Papillomaviridae
NC_001357.1,Papillomaviridae
NC_001595.1,Papillomaviridae
