accession,family
EPI_ISL_10113812_Beta,Beta
EPI_ISL_10265849_Alpha,Alpha
EPI_ISL_10451166_Alpha,Alpha
EPI_ISL_10515204_Gamma,Gamma
EPI_ISL_10898816_Alpha,Alpha
EPI_ISL_10932695_Beta,Beta
EPI_ISL_10935285_Alpha,Alpha
EPI_ISL_10953997_Alpha,Alpha
EPI_ISL_10999595_Delta,Delta
EPI_ISL_11221245_Omicron,Omicron
EPI_ISL_11222860_Omicron,Omicron
EPI_ISL_11230282_Alpha,Alpha
EPI_ISL_11254301_Delta,Delta
EPI_ISL_11268271_Omicron,Omicron
EPI_ISL_11320247_Delta,Delta
EPI_ISL_11370100_Omicron,Omicron
EPI_ISL_11449733_Omicron,Omicron
EPI_ISL_11531492_Omicron,Omicron
EPI_ISL_11533460_Delta,Delta
EPI_ISL_1708575_Gamma,Gamma
EPI_ISL_2097767_Lambda,Lambda
EPI_ISL_2651120_Mu,Mu
EPI_ISL_2862939_Lambda,Lambda
EPI_ISL_2893886_Lambda,Lambda
EPI_ISL_2933815_Mu,Mu
EPI_ISL_3397033_Lambda,Lambda
EPI_ISL_4713792_Gamma,Gamma
EPI_ISL_6316493_GH490R,GH490R
EPI_ISL_6507611_Mu,Mu
EPI_ISL_6783400_Mu,Mu
EPI_ISL_6963122_Beta,Beta
EPI_ISL_6990137_Mu,Mu
EPI_ISL_7547548_GH490R,GH490R
EPI_ISL_7961373_Gamma,Gamma
EPI_ISL_8082681_Delta,Delta
EPI_ISL_8189639_GH490R,GH490R
EPI_ISL_8482131_Beta,Beta
EPI_ISL_8582067_Delta,Delta
EPI_ISL_8582087_Beta,Beta
EPI_ISL_8788228_Mu,Mu
EPI_ISL_9028625_GH490R,GH490R
EPI_ISL_9077869_GH490R,GH490R
EPI_ISL_9547950_Gamma,Gamma
EPI_ISL_9800275_Gamma,Gamma
