accession,family
AF499637.1,HEV
AF546702.1,HEV
AY751783.1,A
DQ473485.1,B
DQ473486.1,B
DQ473488.1,B
DQ473489.1,B
DQ473490.1,B
DQ473491.1,A
DQ473492.1,A
DQ473493.1,A
DQ473494.1,A
DQ473496.1,A
DQ473497.1,A
DQ473499.1,A
DQ473500.1,A
DQ473504.1,A
DQ473505.1,A
DQ473506.1,A
DQ473507.1,A
DQ473508.1,A
DQ473510.1,A
DQ473511.1,A
EF077279.1,C
EF077280.1,C
EF173414.1,A
EF173415.1,A
EF173420.1,B
EF173423.1,B
EF173425.1,B
EF186077.2,C
EF582385.1,C
EF582386.1,C
EF582387.1,C
FJ445111.1,A
FJ445112.1,B
FJ445113.1,A
FJ445114.1,A
FJ445115.1,A
FJ445116.1,A
FJ445117.1,A
FJ445118.1,A
FJ445119.1,A
FJ445121.1,A
FJ445122.1,A
FJ445123.1,A
FJ445124.1,B
FJ445125.1,A
FJ445126.1,A
FJ445127.1,A
FJ445128.1,A
FJ445129.1,A
FJ445130.1,B
FJ445131.1,A
FJ445132.1,A
FJ445133.1,A
FJ445134.1,A
FJ445135.1,A
FJ445136.1,A
FJ445137.1,B
FJ445138.1,A
FJ445139.1,A
FJ445140.1,A
FJ445141.1,A
FJ445142.1,A
FJ445143.1,A
FJ445144.1,A
FJ445145.1,A
FJ445146.1,A
FJ445147.1,A
FJ445148.1,A
FJ445149.1,A
FJ445151.1,B
FJ445152.1,A
FJ445153.1,B
FJ445154.1,A
FJ445155.1,B
FJ445156.1,A
FJ445157.1,A
FJ445158.1,A
FJ445159.1,A
FJ445160.1,A
FJ445161.1,B
FJ445162.1,B
FJ445163.1,A
FJ445164.1,B
FJ445165.1,A
FJ445166.1,A
FJ445167.1,A
FJ445168.1,B
FJ445169.1,B
FJ445170.1,A
FJ445171.1,A
FJ445172.1,B
FJ445173.1,A
FJ445174.1,B
FJ445175.1,A
FJ445176.1,A
FJ445177.1,A
FJ445178.1,A
FJ445179.1,A
FJ445180.1,A
FJ445181.1,A
FJ445182.1,A
FJ445183.1,A
FJ445184.1,A
FJ445185.1,A
FJ445186.1,B
FJ445187.1,B
FJ445188.1,B
FJ445189.1,A
FJ445190.1,A
L05355.1,B
L24917.1,A
V01149.1,HEV
X02316.1,A
