accession,family
NC_001798.2,Herpesviridae
NC_030692.1,Bornaviridae
NC_027892.1,Bornaviridae
NC_029642.1,Bornaviridae
NC_001607.1,Bornaviridae
NC_029549.1,Fimoviridae
NC_029550.1,Fimoviridae
NC_029551.1,Fimoviridae
NC_029552.1,Fimoviridae
NC_029553.1,Fimoviridae
NC_029570.1,Fimoviridae
NC_029554.1,Fimoviridae
NC_029555.1,Fimoviridae
NC_029558.1,Fimoviridae
NC_029559.1,Fimoviridae
NC_029560.1,Fimoviridae
NC_029561.1,Fimoviridae
NC_029571.1,Fimoviridae
NC_029572.1,Fimoviridae
NC_029573.1,Fimoviridae
NC_029567.1,Fimoviridae
NC_029562.1,Fimoviridae
NC_029568.1,Fimoviridae
NC_029563.1,Fimoviridae
NC_029564.1,Fimoviridae
NC_029565.1,Fimoviridae
NC_029566.1,Fimoviridae
NC_029556.1,Fimoviridae
NC_029557.1,Fimoviridae
NC_029569.1,Fimoviridae
NC_029574.1,Fimoviridae
NC_029575.1,Fimoviridae
NC_029578.1,Solemoviridae
NC_030691.1,Bornaviridae
NC_017862.1,Papillomaviridae
NC_017936.1,Caliciviridae
NC_017937.1,Paramyxoviridae
NC_017938.1,Secoviridae
NC_017939.1,Secoviridae
NC_029648.1,Geminiviridae
NC_017977.1,Potyviridae
NC_017967.1,Potyviridae
NC_017970.1,Potyviridae
NC_017988.1,Partitiviridae
NC_017989.1,Partitiviridae
NC_017987.1,Geminiviridae
NC_017993.1,Papillomaviridae
NC_017994.1,Papillomaviridae
NC_017916.1,Smacoviridae
NC_017917.1,Geminiviridae
NC_017913.1,Geminiviridae
NC_011348.1,Geminiviridae
NC_017995.1,Papillomaviridae
NC_017996.1,Papillomaviridae
NC_017997.1,Papillomaviridae
NC_029803.1,Geminiviridae
NC_029804.1,Geminiviridae
NC_029782.1,Narnaviridae
NC_029797.1,Parvoviridae
NC_029799.1,Tospoviridae
NC_029800.1,Tospoviridae
NC_038232.1,Tospoviridae
NC_029802.1,Picobirnaviridae
NC_029801.1,Picobirnaviridae
NC_018072.1,Tospoviridae
NC_018071.1,Tospoviridae
NC_018070.1,Tospoviridae
NC_029853.1,Retroviridae
NC_029852.1,Retroviridae
NC_029854.1,Picornaviridae
NC_018074.1,Papillomaviridae
NC_018075.1,Papillomaviridae
NC_018076.1,Papillomaviridae
NC_029994.1,Geminiviridae
NC_029991.1,Mitoviridae
NC_029995.1,Geminiviridae
NC_029993.1,Solemoviridae
NC_029992.1,Arteriviridae
NC_029936.1,Nairoviridae
NC_029931.1,Nairoviridae
NC_029935.1,Nairoviridae
NC_029900.1,Tombusviridae
NC_029901.1,Phenuiviridae
NC_037612.1,Phenuiviridae
NC_037613.1,Phenuiviridae
NC_029903.1,Phenuiviridae
NC_037614.1,Phenuiviridae
NC_037615.1,Phenuiviridae
NC_029932.1,Nairoviridae
NC_029933.1,Nairoviridae
NC_036636.1,Nairoviridae
NC_029921.1,Amnoonviridae
NC_029922.1,Amnoonviridae
NC_029923.1,Amnoonviridae
NC_029924.1,Amnoonviridae
NC_029925.1,Amnoonviridae
NC_029928.1,Amnoonviridae
NC_029929.1,Amnoonviridae
NC_029930.1,Amnoonviridae
NC_029926.1,Amnoonviridae
NC_035887.1,Geminiviridae
NC_035888.1,Geminiviridae
NC_029905.1,Picornaviridae
NC_029906.1,Solemoviridae
NC_029911.1,Reoviridae
NC_029912.1,Reoviridae
NC_029913.1,Reoviridae
NC_029916.1,Reoviridae
NC_029915.1,Reoviridae
NC_029917.1,Reoviridae
NC_029918.1,Reoviridae
NC_029919.1,Reoviridae
NC_029914.1,Reoviridae
NC_037579.1,Reoviridae
NC_037580.1,Reoviridae
NC_037581.1,Reoviridae
NC_037582.1,Reoviridae
NC_037588.1,Reoviridae
NC_037585.1,Reoviridae
NC_037586.1,Reoviridae
NC_037587.1,Reoviridae
NC_029904.1,Reoviridae
NC_037589.1,Reoviridae
NC_037583.1,Reoviridae
NC_037584.1,Reoviridae
NC_029989.1,Totiviridae
NC_029990.1,Solemoviridae
NC_030152.1,Reoviridae
NC_030159.1,Reoviridae
NC_030160.1,Reoviridae
NC_030162.1,Reoviridae
NC_030153.1,Reoviridae
NC_030154.1,Reoviridae
NC_030155.1,Reoviridae
NC_030157.1,Reoviridae
NC_030158.1,Reoviridae
NC_030163.1,Reoviridae
NC_030115.1,Dicistroviridae
NC_030236.1,Potyviridae
NC_030229.1,Virgaviridae
NC_030126.1,Smacoviridae
NC_030139.1,Genomoviridae
NC_030146.1,Genomoviridae
NC_030141.1,Genomoviridae
NC_030145.1,Genomoviridae
NC_030143.1,Genomoviridae
NC_030140.1,Genomoviridae
NC_030144.1,Genomoviridae
NC_030147.1,Genomoviridae
NC_030138.1,Genomoviridae
NC_030117.1,Herpesviridae
NC_030148.1,Polyomaviridae
NC_030151.1,Papillomaviridae
NC_030127.1,Smacoviridae
NC_030199.1,Circoviridae
NC_030203.1,Tombusviridae
NC_030205.1,Caulimoviridae
NC_030295.1,Totiviridae
NC_030296.1,Parvoviridae
NC_030291.1,Flaviviridae
NC_030293.1,Potyviridae
NC_030308.1,Narnaviridae
NC_018090.1,Geminiviridae
NC_018093.1,Potyviridae
NC_030224.1,Totiviridae
NC_030238.1,Geminiviridae
NC_030225.1,Solemoviridae
NC_030240.1,Baculoviridae
NC_030231.1,Paramyxoviridae
NC_030243.1,Partitiviridae
NC_030245.1,Partitiviridae
NC_030290.1,Flaviviridae
NC_023295.1,Betaflexiviridae
NC_023300.1,Nanoviridae
NC_023301.1,Nanoviridae
NC_023302.1,Nanoviridae
NC_023304.1,Nanoviridae
NC_023306.1,Nanoviridae
NC_023307.1,Nanoviridae
NC_023299.1,Nanoviridae
NC_023296.1,Nanoviridae
NC_023297.1,Nanoviridae
NC_023298.1,Nanoviridae
NC_023308.1,Nanoviridae
NC_023309.1,Nanoviridae
NC_023310.1,Nanoviridae
NC_023303.1,Nanoviridae
NC_023311.1,Nanoviridae
NC_027026.1,Caliciviridae
NC_027016.1,Herpesviridae
NC_027040.1,Geminiviridae
NC_027054.1,Picornaviridae
NC_023312.1,Geminiviridae
NC_026942.1,Polyomaviridae
NC_026944.1,Polyomaviridae
NC_026946.1,Papillomaviridae
NC_026945.1,Circoviridae
NC_026943.1,Parvoviridae
NC_027198.1,Solemoviridae
NC_027209.1,Totiviridae
NC_027211.1,Tombusviridae
NC_027210.1,Potyviridae
NC_027117.1,Retroviridae
NC_027123.1,Solemoviridae
NC_027121.1,Closteroviridae
NC_027122.1,Caliciviridae
NC_027131.1,Caulimoviridae
NC_027141.1,Phenuiviridae
NC_027142.1,Phenuiviridae
NC_027140.1,Phenuiviridae
NC_027124.1,Arteriviridae
NC_027135.1,Arenaviridae
NC_027137.1,Arenaviridae
NC_027134.1,Arenaviridae
NC_027136.1,Arenaviridae
NC_027214.1,Picornaviridae
NC_027212.1,Totiviridae
NC_027215.1,Geminiviridae
NC_027426.1,Astroviridae
NC_027429.1,Parvoviridae
NC_027534.1,Reoviridae
NC_027535.1,Reoviridae
NC_027537.1,Reoviridae
NC_027538.1,Reoviridae
NC_027549.1,Reoviridae
NC_027550.1,Reoviridae
NC_027552.1,Reoviridae
NC_027551.1,Reoviridae
NC_027536.1,Reoviridae
NC_027548.1,Reoviridae
NC_027563.1,Chrysoviridae
NC_027565.1,Chrysoviridae
NC_027566.1,Chrysoviridae
NC_027564.1,Chrysoviridae
NC_027553.1,Reoviridae
NC_027567.1,Reoviridae
NC_027568.1,Reoviridae
NC_027569.1,Reoviridae
NC_027571.1,Reoviridae
NC_027573.1,Reoviridae
NC_027576.1,Reoviridae
NC_027574.1,Reoviridae
NC_027570.1,Reoviridae
NC_027572.1,Reoviridae
NC_027528.1,Papillomaviridae
NC_027527.1,Betaflexiviridae
NC_027533.1,Reoviridae
NC_027539.1,Reoviridae
NC_027540.1,Reoviridae
NC_027543.1,Reoviridae
NC_027545.1,Reoviridae
NC_027546.1,Reoviridae
NC_027547.1,Reoviridae
NC_027542.1,Reoviridae
NC_027544.1,Reoviridae
NC_027541.1,Reoviridae
NC_027531.1,Polyomaviridae
NC_027530.1,Circoviridae
NC_027619.1,Tymoviridae
NC_027637.1,Microviridae
NC_027636.1,Microviridae
NC_027635.1,Microviridae
NC_027634.1,Microviridae
NC_027633.1,Microviridae
NC_027648.1,Microviridae
NC_027647.1,Microviridae
NC_027646.1,Microviridae
NC_027645.1,Microviridae
NC_027644.1,Microviridae
NC_027643.1,Microviridae
NC_027642.1,Microviridae
NC_027641.1,Microviridae
NC_027640.1,Microviridae
NC_027639.1,Microviridae
NC_027638.1,Microviridae
NC_027701.1,Totiviridae
NC_027714.1,Geminiviridae
NC_027710.2,Tombusviridae
NC_027712.1,Closteroviridae
NC_027713.1,Iflaviridae
NC_027706.1,Potyviridae
NC_027711.1,Astroviridae
NC_027720.1,Tospoviridae
NC_027719.1,Tospoviridae
NC_027718.1,Tospoviridae
NC_027776.1,Genomoviridae
NC_027777.1,Smacoviridae
NC_027783.1,Circoviridae
NC_027789.1,Circoviridae
NC_027793.1,Circoviridae
NC_027791.1,Circoviridae
NC_027787.1,Circoviridae
NC_027782.1,Circoviridae
NC_027784.1,Circoviridae
NC_027795.1,Circoviridae
NC_027796.1,Circoviridae
NC_027781.1,Circoviridae
NC_027802.1,Reoviridae
NC_027808.1,Reoviridae
NC_027809.1,Reoviridae
NC_035937.1,Reoviridae
NC_035938.1,Reoviridae
NC_035939.1,Reoviridae
NC_035935.1,Reoviridae
NC_035936.1,Reoviridae
NC_027816.1,Reoviridae
NC_027804.1,Reoviridae
NC_027805.1,Reoviridae
NC_027806.1,Reoviridae
NC_027811.2,Reoviridae
NC_027812.1,Reoviridae
NC_027813.1,Reoviridae
NC_027803.1,Reoviridae
NC_027807.1,Reoviridae
NC_027814.1,Reoviridae
NC_027815.1,Reoviridae
NC_027779.1,Papillomaviridae
NC_027790.1,Circoviridae
NC_027799.1,Circoviridae
NC_027797.1,Circoviridae
NC_027780.1,Circoviridae
NC_027798.1,Circoviridae
NC_027800.1,Circoviridae
NC_027792.1,Circoviridae
NC_027786.1,Circoviridae
NC_027794.1,Circoviridae
NC_027788.1,Circoviridae
NC_027822.1,Partitiviridae
NC_027823.1,Partitiviridae
NC_027916.2,Herpesviridae
NC_027915.1,Secoviridae
NC_027821.1,Genomoviridae
NC_027820.1,Genomoviridae
NC_027920.1,Endornaviridae
NC_029255.1,Herpesviridae
NC_027924.1,Caulimoviridae
NC_027919.1,Picornaviridae
NC_027918.1,Picornaviridae
NC_027926.1,Secoviridae
NC_027927.1,Secoviridae
NC_027922.1,Hepadnaviridae
NC_027928.1,Bromoviridae
NC_027929.1,Bromoviridae
NC_027930.1,Bromoviridae
NC_027998.2,Flaviviridae
NC_028045.1,Circoviridae
NC_028046.1,Geminiviridae
NC_028099.1,Herpesviridae
NC_028097.1,Nodaviridae
NC_028098.1,Nodaviridae
NC_028126.1,Papillomaviridae
NC_028125.1,Papillomaviridae
NC_028134.1,Nodaviridae
NC_028133.1,Nodaviridae
NC_028124.1,Geminiviridae
NC_028114.1,Geminiviridae
NC_028129.1,Hepadnaviridae
NC_028119.1,Polyomaviridae
NC_028117.1,Polyomaviridae
NC_028127.1,Polyomaviridae
NC_030688.1,Bornaviridae
NC_028365.1,Picornaviridae
NC_028364.1,Picornaviridae
NC_028363.1,Picornaviridae
NC_028378.1,Totiviridae
NC_028377.1,Flaviviridae
NC_028136.1,Parvoviridae
NC_028144.1,Potyviridae
NC_028145.1,Potyviridae
NC_028142.1,Geminiviridae
NC_028143.1,Geminiviridae
NC_028141.1,Geminiviridae
NC_028140.1,Geminiviridae
NC_028137.1,Flaviviridae
NC_028138.1,Geminiviridae
NC_004732.1,Geminiviridae
NC_028146.1,Secoviridae
NC_028139.1,Secoviridae
NC_028230.1,Rhabdoviridae
NC_028243.1,Chuviridae
NC_028232.1,Rhabdoviridae
NC_028239.1,Rhabdoviridae
NC_028236.1,Rhabdoviridae
NC_028241.1,Rhabdoviridae
NC_028244.1,Rhabdoviridae
NC_028231.1,Rhabdoviridae
NC_028249.1,Paramyxoviridae
NC_028246.1,Rhabdoviridae
NC_028250.1,Partitiviridae
NC_028251.1,Partitiviridae
NC_028255.1,Rhabdoviridae
NC_028265.1,Chuviridae
NC_028263.1,Chuviridae
NC_028260.1,Chuviridae
NC_028262.1,Geminiviridae
NC_028362.1,Paramyxoviridae
NC_028490.1,Totiviridae
NC_028488.1,Totiviridae
NC_028486.1,Totiviridae
NC_028485.1,Totiviridae
